company_code,report_period,split,f6_inquiry_count_12m,f6_inquiry_count_24m,f6_inquiry_count_60m,f6_annual_report_inquiry_count,f6_attention_letter_count,f6_restructuring_inquiry_count,f6_first_inquiry_interval_days,f6_last_inquiry_interval_days,f6_avg_inquiry_interval_days,f6_inquiry_interval_cv,f6_unreplied_count,f6_severity_score
000010.SZ,20240930,Train,0,0,1,1,0,0,1553.0,1553.0,0.0,0.0,0,0.1
000010.SZ,20241231,Train,0,0,1,1,0,0,1645.0,1645.0,0.0,0.0,0,0.1
000011.SZ,20200331,Train,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
000011.SZ,20200630,Train,1,1,1,0,0,1,12.0,12.0,0.0,0.0,0,0.1
000011.SZ,20200930,Train,1,1,1,0,0,1,104.0,104.0,0.0,0.0,0,0.1
000011.SZ,20201231,Train,1,1,1,0,0,1,196.0,196.0,0.0,0.0,0,0.1
000011.SZ,20210331,Train,1,1,1,0,0,1,286.0,286.0,0.0,0.0,0,0.1
000011.SZ,20210630,Train,0,1,1,0,0,1,377.0,377.0,0.0,0.0,0,0.1
000011.SZ,20210930,Train,0,1,1,0,0,1,469.0,469.0,0.0,0.0,0,0.1
000011.SZ,20211231,Train,0,1,1,0,0,1,561.0,561.0,0.0,0.0,0,0.1
000011.SZ,20220331,Train,0,1,1,0,0,1,651.0,651.0,0.0,0.0,0,0.1
000011.SZ,20220630,Train,0,0,1,0,0,1,742.0,742.0,0.0,0.0,0,0.1
000011.SZ,20220930,Train,0,0,1,0,0,1,834.0,834.0,0.0,0.0,0,0.1
000011.SZ,20221231,Train,0,0,1,0,0,1,926.0,926.0,0.0,0.0,0,0.1
000011.SZ,20230331,Train,0,0,1,0,0,1,1016.0,1016.0,0.0,0.0,0,0.1
000011.SZ,20230630,Train,0,0,1,0,0,1,1107.0,1107.0,0.0,0.0,0,0.1
000011.SZ,20230930,Train,0,0,1,0,0,1,1199.0,1199.0,0.0,0.0,0,0.1
000011.SZ,20231231,Train,0,0,1,0,0,1,1291.0,1291.0,0.0,0.0,0,0.1
000011.SZ,20240331,Train,0,0,1,0,0,1,1382.0,1382.0,0.0,0.0,0,0.1
000011.SZ,20240630,Train,0,0,1,0,0,1,1473.0,1473.0,0.0,0.0,0,0.1
000011.SZ,20240930,Train,0,0,1,0,0,1,1565.0,1565.0,0.0,0.0,0,0.1
000011.SZ,20241231,Train,0,0,1,0,0,1,1657.0,1657.0,0.0,0.0,0,0.1
000012.SZ,20200331,Train,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
000012.SZ,20200630,Train,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
000012.SZ,20200930,Train,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
000012.SZ,20201231,Train,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
000012.SZ,20210331,Train,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
000012.SZ,20210630,Train,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
000012.SZ,20210930,Train,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
000012.SZ,20211231,Train,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
000012.SZ,20220331,Train,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
000012.SZ,20220630,Train,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
000012.SZ,20220930,Train,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
000012.SZ,20221231,Train,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
000012.SZ,20230331,Train,2,2,2,0,2,0,9.0,1.0,8.0,0.0,1,0.2
000012.SZ,20230630,Train,2,2,2,0,2,0,100.0,92.0,8.0,0.0,1,0.2
000012.SZ,20230930,Train,2,2,2,0,2,0,192.0,184.0,8.0,0.0,1,0.2
000012.SZ,20231231,Train,2,2,2,0,2,0,284.0,276.0,8.0,0.0,1,0.2
000012.SZ,20240331,Train,0,2,2,0,2,0,375.0,367.0,8.0,0.0,1,0.2
000012.SZ,20240630,Train,0,2,2,0,2,0,466.0,458.0,8.0,0.0,1,0.2
000012.SZ,20240930,Train,0,2,2,0,2,0,558.0,550.0,8.0,0.0,1,0.2
000012.SZ,20241231,Train,0,2,2,0,2,0,650.0,642.0,8.0,0.0,1,0.2
000014.SZ,20200331,Validation,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
000014.SZ,20200630,Validation,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
000014.SZ,20200930,Validation,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
000014.SZ,20201231,Validation,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
000014.SZ,20210331,Validation,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
000014.SZ,20210630,Validation,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
000014.SZ,20210930,Validation,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
000014.SZ,20211231,Validation,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
000014.SZ,20220331,Validation,1,1,1,0,1,0,63.0,63.0,0.0,0.0,0,0.1
000014.SZ,20220630,Validation,2,2,2,1,1,0,154.0,78.0,76.0,0.0,0,0.2
000014.SZ,20220930,Validation,2,2,2,1,1,0,246.0,170.0,76.0,0.0,0,0.2
000014.SZ,20221231,Validation,2,2,2,1,1,0,338.0,262.0,76.0,0.0,0,0.2
000014.SZ,20230331,Validation,1,2,2,1,1,0,428.0,352.0,76.0,0.0,0,0.2
000014.SZ,20230630,Validation,0,2,2,1,1,0,519.0,443.0,76.0,0.0,0,0.2
000014.SZ,20230930,Validation,0,2,2,1,1,0,611.0,535.0,76.0,0.0,0,0.2
000014.SZ,20231231,Validation,0,2,2,1,1,0,703.0,627.0,76.0,0.0,0,0.2
