company_code,report_period,actual,prob,SHAP_top1_feature,SHAP_top1_direction,SHAP_top1_value,SHAP_top2_feature,SHAP_top2_direction,SHAP_top2_value,SHAP_top3_feature,SHAP_top3_direction,SHAP_top3_value,SHAP_top4_feature,SHAP_top4_direction,SHAP_top4_value,SHAP_top5_feature,SHAP_top5_direction,SHAP_top5_value
000036.SZ,20240331,0,0.03534428091258931,f6_last_inquiry_interval_days,negative_risk,-0.44544,governance_year,negative_risk,-0.24609,mkt_institutional_holder_count,positive_risk,0.22206,regulatory_inquiry_semantic_001,negative_risk,-0.20779,f6_first_inquiry_interval_days,negative_risk,-0.18233
000036.SZ,20240630,0,0.012196907493491104,f6_last_inquiry_interval_days,negative_risk,-0.55354,governance_year,negative_risk,-0.44117,f6_first_inquiry_interval_days,negative_risk,-0.31768,mkt_institutional_holder_count,negative_risk,-0.25757,sent_read_count_30d,negative_risk,-0.25368
000036.SZ,20240930,0,0.013206569942301192,governance_year,negative_risk,-0.46961,f6_last_inquiry_interval_days,negative_risk,-0.39917,f6_first_inquiry_interval_days,negative_risk,-0.30621,mkt_return_5d,negative_risk,-0.2582,regulatory_inquiry_semantic_001,negative_risk,-0.20716
000036.SZ,20241231,0,0.02221488602061989,f6_last_inquiry_interval_days,negative_risk,-0.50173,f6_first_inquiry_interval_days,negative_risk,-0.47351,governance_year,negative_risk,-0.41112,mkt_institutional_holder_count,negative_risk,-0.27684,regulatory_inquiry_semantic_001,negative_risk,-0.21561
000038.SZ,20200331,0,0.541852215650997,regulatory_inquiry_semantic_003,positive_risk,0.3543,sent_read_count_30d,positive_risk,0.33117,f6_attention_letter_count,positive_risk,0.19644,f2_benford_flag,positive_risk,0.16453,f2_p_roa,positive_risk,0.16155
000038.SZ,20200630,0,0.4092002668616572,regulatory_inquiry_semantic_001,positive_risk,0.42519,regulatory_inquiry_semantic_003,positive_risk,0.2667,sent_read_count_30d,positive_risk,0.25152,f6_attention_letter_count,positive_risk,0.1335,f6_unreplied_count,negative_risk,-0.12749
000038.SZ,20200930,0,0.27898297415151874,regulatory_inquiry_semantic_001,positive_risk,0.51038,regulatory_inquiry_semantic_003,positive_risk,0.21438,f2_p_roa,negative_risk,-0.13509,f6_attention_letter_count,positive_risk,0.1154,f2_benford_flag,positive_risk,0.10847
000038.SZ,20201231,0,0.31331431220511685,regulatory_inquiry_semantic_001,positive_risk,0.56247,f6_last_inquiry_interval_days,positive_risk,0.29613,regulatory_inquiry_semantic_003,positive_risk,0.2145,f6_inquiry_count_12m,negative_risk,-0.14447,f6_attention_letter_count,positive_risk,0.13873
000038.SZ,20210331,1,0.4231271381871925,gov_nonstandard_audit_opinion,positive_risk,0.37919,regulatory_inquiry_semantic_001,positive_risk,0.31685,regulatory_inquiry_semantic_003,positive_risk,0.2699,f6_last_inquiry_interval_days,positive_risk,0.21846,f6_inquiry_count_12m,negative_risk,-0.19259
000038.SZ,20210630,0,0.37252584495274976,gov_nonstandard_audit_opinion,positive_risk,0.41333,regulatory_inquiry_semantic_001,positive_risk,0.31701,regulatory_inquiry_semantic_003,positive_risk,0.19324,f6_inquiry_count_12m,negative_risk,-0.15341,f6_attention_letter_count,positive_risk,0.12809
000038.SZ,20210930,0,0.32138741817693367,gov_nonstandard_audit_opinion,positive_risk,0.39628,regulatory_inquiry_semantic_001,positive_risk,0.30439,regulatory_inquiry_semantic_003,positive_risk,0.2046,f6_attention_letter_count,positive_risk,0.1444,f6_inquiry_count_12m,negative_risk,-0.1441
